poi_id,poi_ind,rec_id,rec_ind
sg:52d6d0952bd84dfbbf4a464deae0e32e,1788,sg:5f3a348dc80a400590a6233f48c19f9b,2037
sg:52e0f2f96f06481fbddaa1d80611924e,1789,sg:6a3301bb7184469a9cfc2febb0942f73,2253
sg:52f20e4502ee4ebca76d3b4a14eb5514,1790,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:52f5b0e0d79f45b9aeae0a15bacea744,1791,sg:330f1a34608b4ff6bbb5d7278ecf7ca0,1135
sg:52fd4b52167d4f6aaa9a790b6583afa3,1792,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:530eb4cf51bf44ee9c2eab6bb5681306,1793,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:531263b01c51460abd17e16b0b5793c0,1794,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:531612437b63468ca85415c37fc1d959,1795,sg:4435703ae5b44067ae640db52da3459c,1502
sg:53335d16c2704c45958a0dbd2a6809ab,1796,sg:9c3ee043dfbe4499b8b552beebb9f83d,3190
sg:533536e7cf7f4cefb0e30f67bf1cd4a1,1797,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:534b37881bb84e46a0a91abaae5485ce,1798,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:5367b95e1d75490a80a0a11abf282985,1799,sg:f8eac82189214f47b182f0ac8370efd2,4939
sg:537bcb98090c49ccb6d3786594eb527c,1800,sg:84af574bb61d4f8e91ebca65ce971107,2728
sg:5380417526484a34ab2318ec51ca2f01,1801,sg:4435703ae5b44067ae640db52da3459c,1502
sg:538f39e013cb4c2b8fd08e54a01e916e,1802,sg:bd54396113ff46ccb17c8c0a0666b7f8,3834
sg:5392bcca8fc046c48d3f15f0e206540d,1803,sg:27f2186b419948c3bd92c5b910f000e7,930
sg:53a471e4852949cfb6ea4361bd73db69,1804,sg:4435703ae5b44067ae640db52da3459c,1502
sg:53a6fb4cff56466d908713e332b24f12,1805,sg:4c6abf769ec5438d9f528947216a2139,1652
sg:53aca29ca88343afaeb0036b0fdeec31,1806,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:53acebb4c61b4e028cd21262809c8a5a,1807,sg:53acebb4c61b4e028cd21262809c8a5a,1807
sg:53b4915ef7444e42a2a36cc998de2562,1808,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:53c0845f35ec4011abdfe74300208430,1809,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:53dcab9190d54a03937089d1ac5ddfb9,1810,sg:2fbb9880ca3f409a8a49d70018977af4,1077
sg:53f6c92c751d46c4bee18a46f170085b,1811,sg:bd54396113ff46ccb17c8c0a0666b7f8,3834
sg:53fda2c8900a4fed9ec1f5854b198868,1812,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:540a787bc62346699681eed209d0a81a,1813,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:540afbd5fbe84a7e93bab650c1c60dc2,1814,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:541b06ef8b1c4b4291abdc240e3c1d25,1815,sg:024738bfbbf74431b9aaa90324c1653b,46
sg:5420a1c270114c5d977509c235caefbb,1816,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:543a3277745741d4b93a9f365659a3bd,1817,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:543ebdf7533549e9bc9962f80f60b233,1818,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:543fd2f742384be9bda7d5cccbdfaef6,1819,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:54406f0a9a6e4df2ba057f26d40aed21,1820,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:545976cbccf149f5816f31ee8b304037,1821,sg:b598c5c8b96b4dce9f1e2a7c4fedd9b3,3699
sg:5463acbbdb9a4eef92c5bdc9678cce92,1822,sg:ab48b4066d7f4ece82cc5d26a8ce2df7,3491
sg:546895f3aac74353848f4d8f780cb142,1823,sg:1ef15e3ffb564ffbacc4780ead683803,731
sg:546aa7592d5a4f6dbf4a2589502bb041,1824,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:5477bbf1808b4a4f90dcc537d3e043fd,1825,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:54aac0ea168a4e7fa221260a3cb3e432,1826,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:54c6792f02454d09be6e15b9d7fd08a1,1827,sg:9c3ee043dfbe4499b8b552beebb9f83d,3190
sg:54d36c4cb7894f65826c489ce25575c4,1828,sg:12758102bfe44d8aa99b342d2743e680,430
sg:54da591d186e442cbcfa1b751aafc6a8,1829,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:54dae2e01ee0457dab0036f8d2cb0d56,1830,sg:0e9b2d1e86954736b4ba4d7886eb65e6,334
sg:54dbcb6bf4894f3387edd582f8b8ea6a,1831,sg:27f2186b419948c3bd92c5b910f000e7,930
sg:54e65f8f4a514ae88cdbe63b6e4042d2,1832,sg:e9a5580fe24b4901abae7e34ce71696f,4654
sg:54e994b6b68d4e98b6ad4652dfde1740,1833,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:54ef18d98bb94c2fb3d40724f0185ca9,1834,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:54eff45eb6a849048d4c0abebc9ed684,1835,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:54fae94e660c4095a3d1514f4d0b5334,1836,sg:63e7da40aba34b238263071871a79842,2132
sg:550bca2ecd7e4276bb179d622308514c,1837,sg:12758102bfe44d8aa99b342d2743e680,430
sg:550c24da94ec4fbb954e1fff4eac004f,1838,sg:b598c5c8b96b4dce9f1e2a7c4fedd9b3,3699
sg:551a23529bb545fdb3ecf7c4457a0589,1839,sg:024738bfbbf74431b9aaa90324c1653b,46
sg:553e96ccdc4f48479d62a8e70e26a18a,1840,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:55404e0cbf4b433992bc20b697c3ae8f,1841,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:554c8403d8a241088203205d32ab8435,1842,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:556ea04f79c54053bf4a21f7717d8d54,1843,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:559cd8c2a115467492a64db32ee4ad3c,1844,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:55b6457987eb4ac6bb8bbb0a71c93fc3,1845,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:55b6b83e496c4b22aa8183e67e7810b5,1846,sg:44e60949d2534e8d96cb43328d0a4364,1518
sg:55c660e0e9e2408784a6c27b5af7a59d,1847,sg:47cac40c03c74909b55d8253744d835c,1571
sg:55c81532f2634f2aaefe75dcf00517f8,1848,sg:f131fa73b3414f7dad65b75ce9da8d20,4775
sg:55ca549857d34fd995cbf6f6bbabe073,1849,sg:e9a5580fe24b4901abae7e34ce71696f,4654
sg:55d03da43d89468487b4c5b07ea1be0d,1850,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:55eb33304c2747b88641d88c33287606,1851,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:55fb3400847c484d9f2da8952cad8833,1852,sg:73952d46bfbb4d748520de693e4968f2,2428
sg:56053256ac664a04ba32bfe79a9039d5,1853,sg:b598c5c8b96b4dce9f1e2a7c4fedd9b3,3699
sg:560c09e0c3da453ab8ab1963013b392d,1854,sg:4435703ae5b44067ae640db52da3459c,1502
sg:56248465e7e34540b6d0f33deade7595,1855,sg:5f3a348dc80a400590a6233f48c19f9b,2037
sg:56536ccf8c8248958a8d5ccd28388599,1856,sg:3ae4cb65667b425eb76397d0a9df0b3e,1313
sg:5655a7b0ce114802957f2c65b1a529ea,1857,sg:27f2186b419948c3bd92c5b910f000e7,930
sg:567b537628d64cb680df7f005144cab3,1858,sg:b79623ec1524450daacdd87dbae5a817,3735
sg:5688991f56834dc4ad89183d93033a17,1859,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:5693f899ac9a449da1becf2a883f4714,1860,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:56c35fca27bb4ebda370ed8e1d5a28c0,1861,sg:330f1a34608b4ff6bbb5d7278ecf7ca0,1135
sg:56d129a53c444f99af86ba276fde4747,1862,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:57009a6e3110436abfe1ac236a1a2839,1863,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:5706901950b74a20a89321d5624ae8fb,1864,sg:024738bfbbf74431b9aaa90324c1653b,46
sg:570a6f03862b4ae183a1993efe33af0a,1865,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:570da5ac3abf45fc93a9f80ea3e55a5e,1866,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:571d9b0cffc245e982647436967c2304,1867,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:571f03819cd648cab1a4cd0674504fb6,1868,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
