"","poi_id","poi_cbg","count_sum","bg_atl_dist_mean","med_income_poi","PRD","PID","X","count","group1_poi","group2_poi","group3_poi","group4_poi","group5_poi","white_poi","black_poi","other_poi","n_visit","visitor_home_cbg","new_cate","med_dist","location_name","top_category","sub_category","street_address","city","latitude","longitude","naics_code","GEOID","ALAND","AWATER","group1_home","group2_home","group3_home","group4_home","group5_home","white_home","black_home","other_home","disc_income","disc_race","income_ineq","race_ineq","white_domi","high_domi","white_disc","high_disc"
"3265","sg:9f8d79c5a2b24da19c655493a29fc71c",130890209002,65,4858.79153432667,103838,0.613549727,0.788159171,4031,65,0.142437424700714,0.134988350408358,0.232125620376149,0.201958449050087,0.288490155464692,0.597711899416427,0.32498862620812,0.103118040019185,65,16,"food place",5415,"Flatiron Restaurant & Bar","Drinking Places (Alcoholic Beverages)","Drinking Places (Alcoholic Beverages)","520 Flat Shoals Ave SE","Atlanta",33.74001,-84.345044,722410,130890209002,891273,0,0.185567010309278,0.154639175257732,0.105154639175258,0.131958762886598,0.422680412371134,0.712389380530973,0.242477876106195,0.0902654867256637,0.393941334728761,0.210040784509991,0.218024449781856,0.390252313227492,0.386450273208308,0.211840829405707,-0.19718823121647,-0.00141016028501526
"3266","sg:9f9da43adcd6464c96105eba957e561a",131210035002,185,6427.87164351351,71750,0.473156242,0.694531247,4032,185,0.330200423767815,0.213131946900869,0.217622011531871,0.138935730973735,0.100109886825709,0.163094455583726,0.803665213789173,0.05006711186631,185,38,"personal services",20107,"Tara Bonding","Other Personal Services","All Other Personal Services","229 Peachtree St SW","Atlanta",33.748384,-84.395426,812990,131210035002,828755,0,0.150684931506849,0.0924657534246575,0.202054794520548,0.325342465753425,0.229452054794521,0.309294871794872,0.659455128205128,0.0576923076923077,0.631497805497003,0.298035697621188,0.313788741337369,0.576092646339137,-0.526843758205447,-0.30546875286924,-0.290410501795191,-0.61593058848568
"3267","sg:9fa00bde133e4e7189baa27ea878ec5c",131210004002,35,4550.48277224286,91546,0.652960844,0.820330882,4033,35,0.210238409011727,0.0952655354393645,0.208140992961781,0.192829562565673,0.293525500021454,0.560630895197563,0.327318739205422,0.163817265476317,35,8,"recreation",27834,"Yonah Park","Museums, Historical Sites, and Similar Institutions","Nature Parks and Other Similar Institutions","Yonah Dr./15th St. NE","Atlanta",33.789103,-84.38066,712190,131210004002,985403,48284,0.0786838340486409,0.107296137339056,0.254649499284692,0.267525035765379,0.291845493562232,0.75,0.204545454545455,0.0663636363636364,0.266469162844617,0.409596018575084,0.197470125174255,0.411540421468458,0.347039155992142,0.179669118136035,-0.312142389462403,-0.192539439803879
"3268","sg:9fa3cf8738a74a48af3ea3d2d90bd320",131210024001,53,4462.90678515556,33158,0.410079755,0.61629588,4034,53,0.354497315790544,0.238926054292201,0.195675379805958,0.128398331077319,0.0825029190339784,0.127658745730232,0.831305990471174,0.0560045730659725,53,10,"health/care services",16270,"John E Hall Jr DDS","Offices of Dentists","Offices of Dentists","1099 Martin Luther King Jr Dr NW","Atlanta",33.754736,-84.423907,621210,131210024001,647179,0,0.392426850258176,0.280550774526678,0.173838209982788,0.117039586919105,0.036144578313253,0.0452397029034436,0.948683322079676,0.012153950033761,0.159108509404218,0.243646997467502,0.41397074016549,0.63323167167497,-0.589920244740942,-0.383704119971448,0.19979637443529,0.137271339581048
"3269","sg:9fc5e1b3b03e43b2b244f0a615fd0222",131210077063,475,9994.26702474627,68328,0.277555287,0.646819781,4036,475,0.303819570098589,0.243379984405611,0.257599110008041,0.141552123367171,0.0536492121205885,0.0653693399852444,0.901541053168128,0.0450331681486653,475,68,"retail",9574,"Burlington","Clothing Stores","Family Clothing Stores","3755 Carmia Dr SW # 110","Atlanta",33.655578,-84.507214,448140,131210077063,3455099,62550,0.161194029850746,0.161791044776119,0.334925373134328,0.290746268656716,0.0513432835820896,0.0426697983949892,0.932080642004306,0.0252495596007046,0.453040816831665,0.0730227389743941,0.38483732902448,0.776727545034218,-0.722444713182883,-0.35318021901644,0.0532391304264334,-0.37110269662838
"3270","sg:9fc9463b05a241e188f699765d71b9ea",131210019002,165,4915.49875820385,73464,0.873303872,0.92915345,4037,165,0.196350368086722,0.154060688442352,0.2271493372632,0.193935252169924,0.228504354037803,0.461003510831509,0.448034382562279,0.117360692089738,165,27,"retail",57742,"Gresham's Florist of Atlanta","Florists","Florists","270 Peachtree St NW Ste 200","Atlanta",33.762055,-84.387841,453110,131210019002,852986,0,0.106457242582897,0.141361256544503,0.273996509598604,0.245200698080279,0.232984293193717,0.420841683366733,0.505511022044088,0.110220440881764,0.205185114803348,0.104778718154558,0.0720538869418521,0.144740820358967,0.12669612826923,0.0708465496786526,0.0976384669465847,-0.158337942467943
"3271","sg:9fcd5251c23046189ad4d0669912fbc2",131210090003,69,4469.55019803333,71365,0.462775423,0.722631888,4039,69,0.12580303673394,0.114225269250396,0.241393275633173,0.185593751458014,0.332984666924477,0.678418937029145,0.25492136028304,0.0816083422242955,69,16,"retail",6795,"Terrapin Station","Other Miscellaneous Store Retailers","Tobacco Stores","1985 Howell Mill Rd NW","Atlanta",33.808894,-84.412629,453991,131210090003,989876,0,0.0550774526678141,0.162650602409639,0.334767641996558,0.263339070567986,0.184165232358003,0.681140350877193,0.182017543859649,0.149122807017544,0.439090037265201,0.143139695064688,0.292819388031328,0.554932234521809,0.537224576746105,0.277368112398155,-0.0756252302714393,0.0487738645496192
"3272","sg:9fcfe1e3ebe847a39fb7db6f86a0fd40",131210098012,260,4713.76494845385,237969,0.166076283,0.44013373,4040,260,0.077586745865538,0.0698581338571598,0.144061970178901,0.130532815122676,0.577960334975726,0.822984236785423,0.102787519550564,0.086215674346091,260,27,"food place",4530,"Smoothie King","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars","1270 W Paces Ferry Rd NW","Atlanta",33.848081,-84.428833,722515,131210098012,1848429,0,0.0610328638497653,0,0.147887323943662,0.192488262910798,0.598591549295775,0.956168831168831,0.0438311688311688,0,0.172824031745865,0.278356619448894,0.721712669951451,0.847024042888769,0.833923717234859,0.559866270375704,-0.192140945102803,-0.168998677981104
"3273","sg:9fdc5c155641451caab2f8daf1400874",131210096011,148,4922.11424438966,111719,0.314091857,0.597773684,4041,148,0.110902125077049,0.109993072432295,0.154801289170018,0.180874941474307,0.443428571846332,0.740790966272866,0.168609823193791,0.113361262304983,148,30,"food place",11104,"Pizza Hut","Restaurants and Other Eating Places","Limited-Service Restaurants","3176 Peachtree Rd NE","Atlanta",33.841084,-84.376394,722513,131210096011,465252,0,0.0254777070063694,0.0477707006369427,0.211783439490446,0.269108280254777,0.445859872611465,0.930443548387097,0.0191532258064516,0.0685483870967742,0.295293579732062,0.38392205470978,0.473367026641277,0.699953405384057,0.685908143079074,0.402226315811295,-0.339109179501571,-0.238311429411634
"3274","sg:9fe0972dfb2a47c78ad060c2c5abff95",131210096011,4,NA,111719,-0.025017323,0.359462255,4042,4,0.0254777070063694,0.0477707006369427,0.211783439490446,0.269108280254777,0.445859872611465,0.930443548387097,0.0191532258064516,0.0685483870967742,4,1,"retail",4333,"Diane Ruus Jewelry Design Studio","Jewelry, Luggage, and Leather Goods Stores","Jewelry Stores","3181 Roswell Rd NE","Atlanta",33.841924,-84.378139,448310,131210096011,465252,0,0.0254777070063694,0.0477707006369427,0.211783439490446,0.269108280254777,0.445859872611465,0.930443548387097,0.0191532258064516,0.0685483870967742,0,0,0.654696305732484,1.05578493548387,1.02501732258065,0.64053774522293,0,0
